CustomerID,I,Iu,Imax,E,Savg,R,F,M
12347.0,2139,87,676,4.239118158507943,599.7016666666667,40,6,3598.21
12348.0,1084,9,600,2.5503407095463886,261.48,76,3,784.44
12349.0,630,72,630,3.9032680533084916,1457.55,19,1,1457.55
12350.0,196,16,196,2.5,294.4,311,1,294.4
12352.0,463,57,125,3.1583660990320506,210.90166666666667,73,6,1265.41
12353.0,20,4,20,2.0,89.0,204,1,89.0
12354.0,530,58,530,3.4788872551382273,1079.4,233,1,1079.4
12355.0,240,13,240,2.565448371820826,459.4,96,1,459.4
12356.0,1573,52,1198,4.687734392008136,829.1433333333333,23,3,2487.43
12357.0,2708,131,2708,4.893571894525351,6207.67,182,1,6207.67
12358.0,242,12,144,2.7274972248524723,464.03000000000003,3,2,928.0600000000001
12359.0,1609,214,644,4.31577144945815,1577.5075,9,4,6310.03
12360.0,1156,104,488,4.02684500861977,767.3533333333334,53,3,2302.06
12361.0,90,9,90,1.8910611120726528,174.9,288,1,174.9
12362.0,2181,197,337,3.890223103863564,466.983,30,10,4669.83
12363.0,408,23,282,2.37642813061118,276.0,36,2,552.0
12364.0,1499,69,552,3.0193047731655227,302.025,41,4,1208.1
12365.0,173,21,173,2.593534684168411,320.69,292,1,320.69
12367.0,172,10,172,1.8464393446710154,150.9,212,1,150.9
12370.0,1385,69,1005,3.7669430331506994,838.835,52,2,1677.67
12371.0,582,62,582,4.232759924044931,1527.96,30,1,1527.96
12372.0,788,33,366,3.499429425916339,398.68,35,3,1196.04
12373.0,196,13,196,2.873140679513133,324.6,342,1,324.6
12374.0,339,32,339,3.62580723590509,622.93,26,1,622.93
12375.0,176,13,90,2.4225797618424916,188.75,11,2,377.5
12377.0,338,33,338,3.1435136359281337,546.6,316,1,546.6
12378.0,2529,219,2529,3.998334859011687,4008.62,305,1,4008.62
12379.0,401,38,207,3.596483105491916,387.645,82,2,775.29
12380.0,1109,76,307,3.874623042053098,605.89,22,4,2423.56
12381.0,797,69,562,3.646719015869247,491.6033333333333,2,3,1474.81
12383.0,767,52,586,3.7497408059062742,268.21,9,4,1072.84
12384.0,122,25,62,3.2692750707107128,212.635,29,2,425.27
12386.0,140,2,140,1.0,143.0,192,1,143.0
12388.0,1462,57,478,4.306888411927172,463.4433333333333,16,6,2780.66
12390.0,350,31,350,2.798946506737411,504.84,80,1,504.84
12391.0,293,92,293,3.0366242657006195,439.66,22,1,439.66
12393.0,816,47,294,3.913409377088532,395.65,39,4,1582.6
12394.0,808,25,628,3.559079570624174,540.24,153,2,1080.48
12395.0,1348,74,318,3.685329242359646,209.016,5,10,2090.16
12397.0,1250,109,697,3.838240805699441,1107.4499999999998,136,2,2214.9
12398.0,1389,84,1389,3.6680898663935864,1435.66,46,1,1435.66
12399.0,1173,46,492,3.279913618245738,258.4125,2,4,1033.65
12401.0,10,4,10,2.0,69.3,99,1,69.3
12402.0,92,10,92,2.160964047443681,195.6,324,1,195.6
12403.0,94,4,94,2.0,391.7,50,1,391.7
12405.0,849,53,849,4.111906483020848,1390.3899999999999,149,1,1390.3899999999999
12406.0,1809,90,1025,4.471538874809411,1640.375,22,2,3280.75
12407.0,1403,56,516,4.215772908121417,301.424,50,5,1507.12
12408.0,1382,80,373,4.390014146857635,517.62,152,5,2588.1
12409.0,5550,91,3142,5.285264938874197,5533.860000000001,65,2,11067.72
12410.0,205,25,197,2.992487689168954,260.53999999999996,252,2,521.08
12412.0,824,42,356,3.750860315669561,380.96000000000004,75,3,1142.8799999999999
12413.0,281,28,176,3.2771759601251564,225.38333333333333,192,3,676.15
12414.0,297,15,144,3.240223928941852,147.47,188,3,442.41
12415.0,77362,442,15049,6.945526508428248,6238.129999999999,25,20,124762.6
12417.0,1461,151,341,3.952827878747806,367.92625000000004,40,8,2943.41
12418.0,407,34,407,3.251981313116025,668.58,113,1,668.58
12420.0,345,29,345,3.4435137534498512,600.39,153,1,600.39
12421.0,478,31,156,3.485091030638402,159.76,16,4,639.04
12422.0,367,38,172,3.354550226546897,227.85333333333332,169,3,683.56
12423.0,1139,84,246,3.7573268613122885,205.9114285714286,89,7,1441.38
12424.0,740,30,532,4.002910079649727,880.48,163,2,1760.96
12425.0,496,36,496,3.5510173642897036,777.2,78,1,777.2
12426.0,254,29,254,3.345073995785254,510.73,195,1,510.73
12427.0,162,17,112,3.044110417748401,194.91,22,2,389.82
12428.0,3477,256,1270,4.688128780216832,795.75,26,8,6366.0
12429.0,1092,69,512,4.642022278619953,750.3000000000001,9,3,2250.9
12430.0,116,10,116,2.8464393446710154,216.4,44,1,216.4
12431.0,2622,153,374,4.516181737334411,430.3723076923077,2,13,5594.84
12432.0,1800,106,1090,4.843639067694003,1089.83,43,4,4359.32
12433.0,7489,154,2299,5.143790348812147,1917.75,10,5,9588.75
12434.0,386,45,317,3.6139118845783154,396.47,85,2,792.94
12435.0,2055,31,1176,4.127986806877677,3914.9449999999997,80,2,7829.889999999999
12436.0,209,15,209,2.339572261986723,429.01,335,1,429.01
12437.0,2894,117,567,4.46817167957453,247.07833333333332,9,18,4447.41
12438.0,1169,83,586,4.102609925399463,1233.425,15,2,2466.85
12442.0,181,11,181,2.663532754804255,144.06,181,1,144.06
12444.0,1132,137,582,4.161838997359856,821.0620000000001,0,5,4105.31
12445.0,60,3,60,0.9182958340544894,77.4,22,1,77.4
12446.0,351,57,351,3.72808004133953,1002.31,58,1,1002.31
12447.0,187,25,187,2.8194705707972525,431.49,67,1,431.49
12448.0,240,21,240,3.5585186130489053,365.45,45,1,365.45
12449.0,1523,117,517,3.851789655247608,899.0725,23,4,3596.29
12450.0,128,7,64,2.5,98.94,174,2,197.88
12451.0,6454,263,2214,4.96287588175127,1778.7040000000002,11,5,8893.52
12452.0,181,20,181,3.3709505944546687,348.57,17,1,348.57
12453.0,473,43,473,3.1109629552483544,707.09,135,1,707.09
12455.0,2084,84,1522,4.449213316373019,467.97200000000004,74,5,2339.86
12456.0,1601,104,604,4.271033134812003,851.2966666666666,45,3,2553.89
12457.0,692,52,371,4.054824567231173,403.9875,82,4,1615.95
12458.0,502,34,268,3.5486881132034163,393.7,72,2,787.4
12461.0,282,34,282,2.8139268134224635,626.88,125,1,626.88
12462.0,527,50,281,3.050293650089777,468.795,19,2,937.59
12463.0,752,63,218,3.7162704348433495,293.895,6,4,1175.58
12464.0,95,5,18,2.6405219626825924,119.63125,11,8,957.05
12465.0,475,45,292,3.156535090892615,341.095,18,2,682.1899999999999
12468.0,360,35,235,3.7425895018519197,326.02,218,2,652.04
12471.0,6486,126,954,4.775006418755143,569.6875,11,24,13672.5
12472.0,3090,176,917,4.101085532991925,732.4233333333333,52,6,4394.54
12473.0,2323,136,1550,4.224448513129716,848.4233333333333,54,3,2545.27
12474.0,4738,251,537,3.991273231670455,363.9266666666667,3,18,6550.68
12475.0,532,35,532,3.978864088188098,669.38,54,1,669.38
12476.0,2318,174,615,4.793400466274825,575.568,16,10,5755.68
12477.0,3623,191,1133,5.431623053607953,2187.4100000000003,23,6,13124.46
12478.0,233,35,233,3.0273506907936274,545.99,181,1,545.99
12479.0,382,30,382,3.1525842461721623,473.2,12,1,473.2
12480.0,1685,128,603,3.900269830695923,721.4075,29,4,2885.63
12481.0,2936,141,782,4.361319175215199,541.6275,23,8,4333.0199999999995
12483.0,1094,45,288,4.423367025131641,238.8725,18,8,1910.98
12484.0,2161,255,798,4.383185962688686,975.705,104,4,3902.82
12488.0,526,45,267,3.8838585680957403,414.8866666666666,10,3,1244.66
12489.0,103,14,103,3.5216406363433177,298.93,162,1,298.93
12490.0,3033,130,646,4.194003349521968,485.99300000000005,18,10,4859.93
12491.0,258,24,258,3.3190795706241745,424.4,333,1,424.4
12492.0,190,18,122,2.794653473544342,113.60499999999999,106,2,227.21
12493.0,203,17,118,2.144023910757423,181.395,166,2,362.79
12494.0,677,59,208,3.8321790691608153,192.92,16,5,964.6
12497.0,1231,13,1231,2.287783719941071,953.1,82,1,953.1
12498.0,156,20,80,2.7013757559060494,116.56666666666666,22,3,349.7
12500.0,2664,31,576,4.158562939644916,404.492,24,10,4044.92
12501.0,1775,148,1775,3.435806933513121,2025.3899999999999,162,1,2025.3899999999999
12502.0,794,101,227,3.779194232068332,599.174,188,5,2995.87
12504.0,51,5,48,1.5219280948873626,46.325,19,2,92.65
12506.0,23,23,23,2.386115892633963,73.5,233,1,73.5
12507.0,885,18,669,3.3841837197791893,352.53999999999996,135,3,1057.62
12508.0,271,57,202,3.4729377533214834,198.94,27,2,397.88
12509.0,54,6,54,1.4591479170272446,158.5,285,1,158.5
12510.0,347,28,291,3.1708346163499628,407.28499999999997,143,2,814.57
12512.0,96,31,92,2.8851974236959843,66.09,244,2,132.18
12513.0,453,33,453,3.384669878959454,532.79,113,1,532.79
12514.0,440,51,440,3.7376991760291998,1017.6800000000001,268,1,1017.6800000000001
12516.0,868,19,526,3.0009619827626763,593.03,4,2,1186.06
12517.0,1328,231,416,4.066485203483213,565.9125,29,4,2263.65
12518.0,1306,83,322,3.605421569801876,368.178,0,5,1840.89
12519.0,172,16,172,3.0778195311147827,276.84,153,1,276.84
12520.0,1423,120,613,3.9246216532965548,469.25200000000007,37,5,2346.2599999999998
12521.0,306,37,306,3.208698872222265,545.68,143,1,545.68
12522.0,192,10,128,2.6464393446710153,78.36,40,2,156.72
12523.0,860,83,147,3.2236021513945325,154.52454545454546,9,11,1699.77
12524.0,3669,112,1292,4.6920550023206795,493.215,10,8,3945.72
12526.0,624,63,316,3.4972879834250907,390.8866666666666,54,3,1172.66
12527.0,233,17,112,3.146286370662104,110.23666666666666,82,3,330.71
12528.0,735,49,277,3.996033222460992,273.205,10,6,1639.23
12530.0,891,49,311,3.919209068640957,365.4075,30,4,1461.63
12531.0,45,17,45,3.1018812234760182,125.22,15,1,125.22
12532.0,151,15,151,3.240223928941852,313.83,90,1,313.83
12534.0,645,62,645,3.341822910334532,981.18,336,1,981.18
12535.0,219,28,115,2.9908683555108015,358.17499999999995,92,2,716.35
12536.0,2801,259,2801,3.8549545129451985,4279.71,30,1,4279.71
12538.0,191,21,191,3.249460279921617,363.95,60,1,363.95
12539.0,2067,157,643,3.771537711772919,1392.0875,23,4,5568.35
12540.0,6324,269,739,4.515254154771254,676.655,20,16,10826.48
12541.0,675,45,287,3.4811315289318547,280.3933333333333,60,3,841.18
12544.0,130,18,130,3.1496734471867414,299.7,274,1,299.7
12545.0,517,41,343,3.150904744699599,416.195,76,2,832.39
12546.0,628,58,472,3.263367204134995,510.75,47,2,1021.5
12547.0,132,6,108,1.4591479170272446,75.9,198,2,151.8
12548.0,48,4,48,0.8112781244591328,67.19999999999999,167,1,67.19999999999999
12550.0,564,56,564,3.650780708298527,824.83,80,1,824.83
12552.0,85,19,85,3.1158340921632206,317.82,40,1,317.82
12553.0,1901,93,401,3.9144899740102086,323.854,0,10,3238.54
12556.0,355,100,192,3.4817854558540557,299.78,33,2,599.56
12557.0,3984,15,1506,3.3598790287368607,2842.7400000000002,17,4,11370.960000000001
12559.0,279,19,243,3.721611723969901,250.10500000000002,311,2,500.21
12560.0,1090,90,804,4.0659050070759974,947.155,144,2,1894.31
12561.0,177,16,177,2.7806390622295667,238.85,69,1,238.85
12562.0,1757,98,320,3.7992712603370697,483.6771428571428,23,7,3385.7400000000002
12564.0,130,20,130,2.3016094970590273,402.9,262,1,402.9
12565.0,75,9,75,2.419381945646372,131.17,289,1,131.17
12566.0,261,18,261,2.5724312513221195,292.7,87,1,292.7
12567.0,3279,264,766,4.199413368904886,824.5699999999999,23,8,6596.56
12569.0,1741,91,244,4.0716121212566625,97.7809375,0,32,3128.99
12571.0,523,31,326,3.0635586085111224,259.805,40,2,519.61
12572.0,444,52,289,3.2910412684181374,448.36,52,2,896.72
12573.0,84,26,84,3.04363785115567,160.54,228,1,160.54
12574.0,59,10,59,1.9219280948873625,182.45,316,1,182.45
12576.0,964,72,302,3.444899851026166,261.396,130,5,1306.98
12577.0,331,73,304,3.1602150977705827,197.78,243,2,395.56
12578.0,1166,110,725,3.9759223857863515,1186.305,22,2,2372.61
12579.0,276,27,276,3.059537964725789,374.72,79,1,374.72
12580.0,236,23,236,2.996630848284676,379.7,159,1,379.7
12581.0,160,14,160,2.005977711423774,179.71,40,1,179.71
12582.0,296,20,156,3.108694969562842,175.68,239,2,351.36
12583.0,4532,105,714,4.778078203438295,416.2485714285714,0,14,5827.4800000000005
12584.0,370,41,79,3.8350988962795913,215.63888888888889,18,9,1940.75
12585.0,395,21,395,3.6897037321995465,664.0,235,1,664.0
12586.0,79,11,79,2.8453509366224368,196.94,18,1,196.94
12587.0,50,3,50,0.9182958340544894,104.0,301,1,104.0
12588.0,52,9,52,2.419381945646372,174.9,40,1,174.9
12589.0,302,28,220,2.87624639143013,287.34000000000003,29,2,574.68
12590.0,4282,67,4282,4.993338399697666,9341.26,5,1,9341.26
12591.0,225,25,225,2.7892750707107137,368.84999999999997,318,1,368.84999999999997
12592.0,288,10,164,2.2806390622295667,200.8,66,2,401.6
12593.0,204,13,98,1.8804820237218405,127.36666666666667,109,3,382.1
12594.0,1772,49,521,4.433305386376057,356.4688888888889,47,9,3208.22
12596.0,468,24,314,3.559079570624174,225.135,36,2,450.27
12597.0,2214,183,1474,4.016453476469309,798.805,20,4,3195.22
12598.0,1928,83,344,4.135522092987309,398.09714285714284,10,7,2786.68
12599.0,948,31,214,2.896481704426507,126.93999999999998,33,7,888.5799999999999
12600.0,686,30,158,4.15381578441166,259.03,29,8,2072.24
12601.0,239,20,86,3.588354347173233,95.91199999999999,39,5,479.56
12602.0,162,12,162,2.355388542207534,153.12,0,1,153.12
12603.0,56,1,56,0.0,613.2,22,1,613.2
12604.0,200,14,136,2.0729055953200564,118.09,80,2,236.18
12609.0,639,56,290,3.911433111135413,321.6166666666667,79,3,964.85
12610.0,1018,83,452,3.4834103168004145,426.4975,23,4,1705.99
12611.0,846,65,846,3.813537200605154,1193.32,53,1,1193.32
12612.0,249,18,249,3.1699250014423126,607.59,75,1,607.59
12613.0,1625,123,878,4.043313652675201,769.0074999999999,58,4,3076.03
12614.0,76,20,76,2.6638651219508542,315.6,160,1,315.6
12615.0,1365,81,410,4.209472910777844,523.2975,72,4,2093.19
12616.0,270,24,181,3.2565647621309535,296.6,215,2,593.2
12617.0,210,39,210,3.6772141268234226,352.98,60,1,352.98
12618.0,95,10,95,1.8464393446710154,137.31,22,1,137.31
12619.0,3337,47,776,3.8526338183111277,363.60125,17,8,2908.81
12620.0,1179,88,439,3.7742982084704573,434.46999999999997,15,3,1303.41
